番号,問題文,A,B,C,D,正解,解説,補足
1,『ポケモン金銀』で登場する「いかりのみずうみ」の伝説のポケモンは？,スイクン,エンテイ,ライコウ,ギャラドス,D,『いかりのみずうみ』では赤いギャラドスが登場する。これは色違いポケモンの象徴として物語に登場する数少ない例であり、色違いイベントの先駆けでもある。,イベントで必ず出現する色違い。
2,『ポケモン』シリーズで初めて道具を持てるようになったのはどの世代？,第1世代,第2世代,第3世代,第4世代,B,『金・銀』からポケモンが「もちもの」を持てるようになり、「きのみ」や「しあわせタマゴ」などの戦略的要素が一気に広がった。,以降の戦闘においてアイテム所持は常識に。
3,『ポケモン ダイヤモンド・パール』で追加された物理・特殊の分岐方式は？,タイプごとの分類,技ごとの分類,種族値による分類,努力値による分類,B,第4世代からは技ごとに「物理」「特殊」が分かれるようになり、それ以前の「タイプで分類」する方式から大きく改善された。,戦略性が格段に向上した。
4,『メガシンカ』が初登場したのはどの作品？,ブラック・ホワイト,X・Y,サン・ムーン,ソード・シールド,B,メガシンカは『ポケモンX・Y』で登場した新要素。戦闘中に一度だけ進化のような形態変化をするシステムで、特定のポケモンに限定される。,『Z』バージョンは出ていない。
5,『ポケモン剣盾』のダイマックスと異なる、キョダイマックスの特徴は？,姿が変わる,威力が2倍になる,すばやさが2倍になる,専用技が追加される,A,キョダイマックスはダイマックスと違って見た目が大きく変化するほか、特定のポケモンのみが対象で専用技も持つ。,すべてのポケモンがキョダイマックスできるわけではない。
6,『ポケモン緑』のカラーバージョンはどの国で正式発売された？,日本,アメリカ,韓国,発売されていない,A,『ポケモン緑』は日本限定のリリースであり、海外では『赤』『青』をベースにした『Red』『Blue』が販売された。,海外では緑版は発売されていない。
7,『ポケモン』で最初にノーマル/フェアリータイプになったポケモンは？,ピッピ,プリン,トゲピー,エネコ,B,第6世代でフェアリータイプが登場した際、プリン系統がノーマル/フェアリーとなった。他にもピッピ系統などもフェアリー化したが、プリンが先駆けとして有名。,フェアリー導入はドラゴンメタとして登場。
8,ポケモンで『オーキド博士』が担当する分野は？,進化論,遺伝子学,ポケモンと人間の関係,ポケモン分類学,D,オーキド博士はポケモンの分類学を専門としており、全国図鑑をプレイヤーに託すのもその一環。ほかにも各地方に博士が登場するが、分野がそれぞれ異なる。,ポケモン研究の祖的存在。
9,『ピカチュウ』という名前の由来は？,電気の音とねずみの鳴き声の組み合わせ,作者の子供の名前,海外マーケティング用に作られた,ランダムに決定された,A,ピカチュウの語源は「ピカピカ（電気の音）＋チュウチュウ（ねずみの鳴き声）」で、日本語の擬音語を組み合わせたもの。,名前の由来にも日本文化が影響している。
10,ポケモンの英語名『Pokemon』に入る正式な記号は？,アポストロフィ,ハイフン,トレードマーク記号,アクセント記号（é）,D,英語表記では『Pokémon』と書かれ、eの上にアクセント記号（é）が付くことでポケモンと正確に発音される。海外展開の工夫の一つ。,Pokémon Companyの正式表記にも含まれる。
